name,short_name,construct_id
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP4-P(Cym)-32-sgp41-8,e33x32gp418,A215
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP5-P(Cym)-32-sNrdJ-1,e33x32NrdJ1,A216
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP5-P(Cym)-33-sNrdJ-1,e33x33NrdJ1,A217
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP6-P(Cym)-30-(ST)sIMPDH-1,e33x30STIMPDH1,A218
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP6-P(Cym)-32-(ST)sIMPDH-1,e33x32STIMPDH1,A219
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP7-P(Cym)-30-(ST)sSspDnaX,e33x30STsSspDnaX,A220
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP8-P(Cym)-30-sSspGyrB,e33x30SspGyrB,A221
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP9-P(Cym)-30-sTerThyX.S1,e33x30TerThyXS1,A223
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP10-P(Cym)-30-sTvoVMA,e33x30TvoVMA,A224
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP11-P(Cym)-30-(ST)sPhoRadA,e33x30STPhoRadA,A225
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP11-P(Cym)-32-(ST)sPhoRadA,e33x32STPhoRadA,A226
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP20-P(Cym)-32-sCth_Ter,e33x32CthTer,A228
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP29-P(Cym)-30-sSaP_dpol,e33x30SaPdpol,A230
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP31-P(Cym)-32-sNrdA-2,e33x32NrdA2,A231
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP31-P(Cym)-33-sNrdA-2,e33x33NrdA2,A232
3K3-P33*-gfp-B15-P(ara)-sECF33*-SP33-P(Cym)-30-sMja_KlbA,e33x30MjaKlbA,A233
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP1-P(Cym)-32-sM86,e34x32M86,A235
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP2-P(Cym)-30-(ST)sNpuSsp.S2,e34x30STNpuSspS2,A236
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP3-P(Cym)-32-sgp41-1,e34x32gp411,A239
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP4-P(Cym)-32-sgp41-8,e34x32gp418,A241
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP5-P(Cym)-32-sNrdJ-1,e34x32NrdJ1,A242
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP5-P(Cym)-33-sNrdJ-1,e34x33NrdJ1,A243
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP6-P(Cym)-32-(ST)sIMPDH-1,e34x32STIMPDH1,A245
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP8-P(Cym)-30-sSspGyrB,e34x30SspGyrB,A247
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP11-P(Cym)-30-(ST)sPhoRadA,e34x30STPhoRadA,A251
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP20-P(Cym)-30-sCth_Ter,e34x30CthTer,A253
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP29-P(Cym)-30-sSaP_dpol,e34x30SaPdpol,A256
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP31-P(Cym)-32-sNrdA-2,e34x32NrdA2,A257
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP31-P(Cym)-33-sNrdA-2,e34x33NrdA2,A258
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP33-P(Cym)-30-sMja_KlbA,e34x30MjaKlbA,A259
3K3-P34*-gfp-B15-P(ara)-sECF34*-SP33-P(Cym)-33-sMja_KlbA,e34x33MjaKlbA,A260
3K3-P38*-gfp-B15-P(ara)-sECF38*-SP1-P(Cym)-32-sM86,e38x32M86,A261
3K3-P38*-gfp-B15-P(ara)-sECF38*-SP2-P(Cym)-30-sNpuSsp.S1,e38x30NpuSspS1,A264
3K3-P38*-gfp-B15-P(ara)-sECF38*-SP4-P(Cym)-32-sgp41-8,e38x32gp418,A267
3K3-P38*-gfp-B15-P(ara)-sECF38*-SP5-P(Cym)-32-sNrdJ-1,e38x32NrdJ1,A268
3K3-P38*-gfp-B15-P(ara)-sECF38*-SP5-P(Cym)-33-sNrdJ-1,e38x33NrdJ1,A269
3K3-P38*-gfp-B15-P(ara)-sECF38*-SP9-P(Cym)-30-sTerThyX.S2,e38x30TerThyXS2,A274
3K3-P38*-gfp-B15-P(ara)-sECF38*-SP20-P(Cym)-32-sCth_Ter,e38x32CthTer,A280
3K3-P38*-gfp-B15-P(ara)-sECF38*-SP33-P(Cym)-33-sMja_KlbA,e38x33MjaKlbA,A286
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP1-P(Cym)-32-sM86,e41x32M86,A287
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP2-P(Cym)-30-(ST)sNpuSsp.S2,e41x30STNpuSspS2,A288
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP2-P(Cym)-32-sNpuSsp.S2,e41x32NpuSspS2,A289
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP2-P(Cym)-30-sNpuSsp.S1,e41x30NpuSspS1,A290
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP3-P(Cym)-32-sgp41-1,e41x32gp411,A291
